name,url,category,language,region,state
Daily Thanthi,http://www.dailythanthi.com/,Various,Various,Nationwide,N/A
Dinakaran,http://www.dinakaran.com/,Various,Various,Nationwide,N/A
Dinamalar,http://www.dinamalar.com/,Various,Various,Nationwide,N/A
Dinamani,http://www.dinamani.com/,Various,Various,Nationwide,N/A
Maalai Malar,http://www.maalaimalar.com/,Regional,Tamil,Southern India,Tamil Nadu
Thinaboomi,http://www.thinaboomi.com/,Various,Various,Nationwide,N/A
Tamil Murasu,http://www.tamilmurasu.org/,Regional,Tamil,Southern India,Tamil Nadu
Theekkathir,http://theekkathir.in/,Regional,Tamil,Southern India,Tamil Nadu
The Hindu Tamil Daily,http://tamil.thehindu.com/,Various,Various,Nationwide,N/A
Viduthalai,http://www.viduthalai.in/,Regional,Tamil,Southern India,Tamil Nadu
Google news in Tamil,https://news.google.co.in/?edchanged=1&ned=ta_in&authuser=0,Regional,Tamil,Southern India,Tamil Nadu
OneIndia Tamil,http://tamil.oneindia.com/,Regional,Tamil,Southern India,Tamil Nadu
Webdunia Tamil,http://tamil.webdunia.com/,Regional,Tamil,Southern India,Tamil Nadu
Seithy.com,http://www.seithy.com/,Regional,Tamil,Southern India,Tamil Nadu
Tamil 24 News,http://tamil24news.com/,Regional,Tamil,Southern India,Tamil Nadu
Tamil Star,http://www.tamilstar.com/,Regional,Tamil,Southern India,Tamil Nadu
thoothuonline.com,http://www.thoothuonline.com/,Regional,Tamil,Southern India,Tamil Nadu
Tamil CNN,http://www.tamilcnn.org/,Regional,Tamil,Southern India,Tamil Nadu
Tamilsigaram.com,http://www.tamilsigaram.com/,Regional,Tamil,Southern India,Tamil Nadu
NTamil.com,http://www.ntamil.com/,Regional,Tamil,Southern India,Tamil Nadu
BBC News Tamil,http://www.bbc.com/tamil,Regional,Tamil,Southern India,Tamil Nadu
China Radio Tamil,http://tamil.cri.cn/,Regional,Tamil,Southern India,Tamil Nadu
Paris Tamil,http://www.paristamil.com/,Regional,Tamil,Southern India,Tamil Nadu
Tamil Murasu – Singapore,http://www.tamilmurasu.com.sg/,Regional,Tamil,Southern India,Tamil Nadu
Tamil Guardian,http://www.tamilguardian.com/,Regional,Tamil,Southern India,Tamil Nadu
Virakesari,http://www.virakesari.lk/,Regional,Tamil,Southern India,Tamil Nadu
Tamil.com,http://www.tamil.com/,Regional,Tamil,Southern India,Tamil Nadu
Vanakkam London,http://www.vanakkamlondon.com/,Regional,Tamil,Southern India,Tamil Nadu
Dinasudar,http://www.dinasudar.co.in/,Regional,Tamil,Southern India,Tamil Nadu
Kathiravan.com,http://kathiravan.com/,Regional,Tamil,Southern India,Tamil Nadu
Koodal.Com,http://www.koodal.com/,Regional,Tamil,Southern India,Tamil Nadu
Malai Murasu,http://www.malaimurasu.in/,Regional,Tamil,Southern India,Tamil Nadu
Maalaisudar,http://www.maalaisudar.com/,Regional,Tamil,Southern India,Tamil Nadu
TamilDaily.com,http://www.tamildaily.com/,Regional,Tamil,Southern India,Tamil Nadu
Inneram,http://www.inneram.com/,Regional,Tamil,Southern India,Tamil Nadu
Makkal Kural,http://makkalkural.net/news/,Regional,Tamil,Southern India,Tamil Nadu
TTN News,http://ttnnews.com/,Regional,Tamil,Southern India,Tamil Nadu
2Tamil.com,http://www.2tamil.com/,Regional,Tamil,Southern India,Tamil Nadu
4tamilmedia.com,http://www.4tamilmedia.com/,Regional,Tamil,Southern India,Tamil Nadu
Pathivu,http://www.pathivu.com/,Regional,Tamil,Southern India,Tamil Nadu
Tamilnadu Today,http://www.tamilnadutoday.com/,Regional,Tamil,Southern India,Tamil Nadu
inioru.com,http://inioru.com/,Regional,Tamil,Southern India,Tamil Nadu
Puthinappalakai.com,http://www.puthinappalakai.com/,Regional,Tamil,Southern India,Tamil Nadu
yarl.com,http://www.yarl.com/,Regional,Tamil,Southern India,Tamil Nadu
Puthinam News,http://www.puthinamnews.com/,Regional,Tamil,Southern India,Tamil Nadu
TELOnews.com,http://www.telonews.com/,Regional,Tamil,Southern India,Tamil Nadu
TamilWin.com,http://www.newstamilwin.com/,Regional,Tamil,Southern India,Tamil Nadu
Tharavu.com,http://www.tharavu.com/,Regional,Tamil,Southern India,Tamil Nadu
Ponguthamil.com,http://www.ponguthamil.com/,Regional,Tamil,Southern India,Tamil Nadu
Eeladhesam News,http://eeladhesam.com/,Regional,Tamil,Southern India,Tamil Nadu
Thinakkathir.com,http://thinakkathir.com/,Regional,Tamil,Southern India,Tamil Nadu
athirvu.com,http://www.athirvu.com/,Regional,Tamil,Southern India,Tamil Nadu
Tamil Leader,http://tamilleader.org/,Regional,Tamil,Southern India,Tamil Nadu
Tamil Mithran,http://www.tamilmithran.com/,Regional,Tamil,Southern India,Tamil Nadu
Chennai Today News,http://www.chennaitodaynews.com/,Regional,Tamil,Southern India,Tamil Nadu
Chennai Online (Tamil),http://www.chennaionline.com/tamil,Regional,Tamil,Southern India,Tamil Nadu
news.coimbatoreonline.in,http://news.coimbatoreonline.in/Tamil,Regional,Tamil,Southern India,Tamil Nadu
Thinnai,http://puthu.thinnai.com/,Regional,Tamil,Southern India,Tamil Nadu
JVP News,http://www.jvpnews.com/,Regional,Tamil,Southern India,Tamil Nadu
Sumanasa Tamil News,http://www.sumanasa.com/tamilnews/,Regional,Tamil,Southern India,Tamil Nadu
Day Tamil,http://www.daytamil.com/,Regional,Tamil,Southern India,Tamil Nadu
Tamil GoodReturns,http://tamil.goodreturns.in/,Regional,Tamil,Southern India,Tamil Nadu
Sun News Live,http://www.sunnewslive.in/,Regional,Tamil,Southern India,Tamil Nadu
Samayam Tamil,http://tamil.samayam.com/,Regional,Tamil,Southern India,Tamil Nadu
Live Day,http://liveday.in/,Regional,Tamil,Southern India,Tamil Nadu
Tamilkurinji,http://tamilkurinji.com/,Regional,Tamil,Southern India,Tamil Nadu
Vivegam News,http://www.vivegamnews.com/,Various,Various,Nationwide,N/A
Universal Tamil,http://universaltamil.com/,Regional,Tamil,Southern India,Tamil Nadu
Gold Tamil,http://goldtamil.com/,Regional,Tamil,Southern India,Tamil Nadu
IN4NET,http://in4net.com/,Regional,Tamil,Southern India,Tamil Nadu
Global Tamil News,http://globaltamilnews.net/,Regional,Tamil,Southern India,Tamil Nadu
Canada Uthayan,http://canadauthayan.ca/,Regional,Tamil,Southern India,Tamil Nadu
Tamil Australian,http://www.tamilaustralian.com.au/news/,Regional,Tamil,Southern India,Tamil Nadu
BOW,http://www.bulletinofworld.com,Regional,Tamil,Southern India,Tamil Nadu
Edit links,https://www.wikidata.org/wiki/Special:EntityPage/Q1433703#sitelinks-wikipedia,Various,Various,Nationwide,N/A
Wikidata item,https://www.wikidata.org/wiki/Special:EntityPage/Q1433703,Various,Various,Nationwide,N/A
Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Newspapers_of_India,Various,Various,Nationwide,N/A
"""Twenty decades of Mumbai Samachar""",https://www.printweek.in/News/twenty-decades-of-mumbai-samachar-41881,Various,Various,Nationwide,N/A
Press in India,https://books.google.com/books?id=ne85AAAAMAAJ,Various,Various,Nationwide,N/A
Indian All Newspapers and Media List,https://allmedialink.com/india/,Various,Various,Nationwide,N/A
The Indian Media Business,https://books.google.com/books?id=1C4nAgAAQBAJ,Various,Various,Nationwide,N/A
The Press in India 2017-18,http://rni.nic.in/all_page/pin201718.htm,Various,Various,Nationwide,N/A
Privacy policy,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Privacy_policy,Various,Various,Nationwide,N/A
Code of Conduct,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Universal_Code_of_Conduct,Various,Various,Nationwide,N/A
Developers,https://developer.wikimedia.org,Various,Various,Nationwide,N/A
Cookie statement,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Cookie_statement,Various,Various,Nationwide,N/A
